# id | kind | tier | name | summary
arabic-script-feature | concept | major | Arabic Script Feature (A/1/3450) | The paper's lead case study: a learned feature that fires on text in Arabic script, is specific and reasonably sensitive to it, and has no neuron coun
fig-69 | figure | evidence | Pearson vs Spearman Scoring Panel | The paper re-runs its automated interpretability scoring with Pearson correlation alongside the Spearman correlation used throughout the main text, an
fig-70 | figure | evidence | The Randomized-Transformer Control | On the paper's automated activation score, features found in a random-weight transformer get a slightly higher median than the real features do. Split
fig-71 | figure | evidence | Importance-Weighted Interpretability Scores | Once the automated-interpretability scores are reweighted to what random text would have given, features still beat neurons (median 0.28 vs 0.04) but 
fig-72 | figure | evidence | Explanation Length Distributions | A prompting bug sometimes let Claude's whole chain of thought stand in as a feature's explanation, producing explanations several hundred tokens long 
eq-feature-decomposition | equation | evidence | Activations as a Sum of Features | The paper defines a decomposition of a layer as writing each token's MLP activation vector as a fixed bias plus a weighted sum of unit directions, one
eq-encoder | equation | evidence | The Encoder Equation | This fixes what a "feature activation" concretely is in this paper: one non-negative number per dictionary element, produced by a single linear readou
eq-autoencoder-loss | equation | evidence | The Sparse Autoencoder's Two-Term Loss | This is the entire method in four lines: a ReLU encoder turns one MLP activation vector into feature activations, a linear decoder rebuilds the activa
eq-proxy-loglikelihood-ratio | equation | evidence | The Log-Likelihood-Ratio Proxy | The paper scores every string with a hand-built number: how much more likely that string is under a guessed context (base64, Arabic script, DNA) than 
eq-bayes-script-proxy | equation | evidence | Inverting the Script Probability | To score how Arabic-like a string is, the paper needs $P(s|\text{Arabic})$, which would otherwise require a generative model of Arabic text. Bayes' ru
eq-attribution-vector | equation | evidence | Attribution Score for the Observed Next Token | This footnote formula defines one number per datapoint: a feature's activation there, multiplied by its logit weight on the token that actually came n
eq-feature-ablation | equation | evidence | Subtracting One Feature's Contribution | Ablating a feature means subtracting exactly that feature's own contribution — its activation times its dictionary direction — from the MLP activation
